name,algoritmo,modelo,modalidad,n,k,target_cardinality,cardinality_pred,Execution_Time,ARI,AMI,NMI,Silhouette_mean,Error_Card_Pct
organcmnist,K-MeansACO,CLIP,imagen,8216,11,828 431 421 421 727 735 1835 549 557 750 962,828 431 421 421 727 735 1835 549 557 750 962,582.8298794000002,0.0884909031638975,0.1879111390078873,0.1900797643379695,0.0050490408164885,0.0
organsmnist,K-MeansACO,CLIP,imagen,8827,11,811 439 445 510 704 693 2078 397 439 1343 968,811 439 445 510 704 693 2078 397 439 1343 968,702.4310758999927,0.0913836248659411,0.1911276708610116,0.1931794148641064,0.0247617661103598,0.0
usps,K-MeansACO,CLIP,imagen,9298,10,1553 1269 929 824 852 716 834 792 708 821,1553 1269 929 824 852 716 834 792 708 821,738.6286017999955,0.3316441141417336,0.4499874269064046,0.4510460955889013,0.1423078827156051,0.0
cifar100,K-MeansACO,CLIP,imagen,9998,20,499 500 500 500 500 500 500 500 500 500 500 500 500 500 499 500 500 500 500 500,499 500 500 500 500 500 500 500 500 500 500 500 500 500 499 500 500 500 500 500,853.4635349000018,0.2773880895041239,0.4126442928322398,0.416211001143258,0.0174861618951172,0.0
cifar10,K-MeansACO,CLIP,imagen,10000,10,1000 1000 1000 1000 1000 1000 1000 1000 1000 1000,1000 1000 1000 1000 1000 1000 1000 1000 1000 1000,822.8710855999961,0.5605208736736736,0.6201038297314844,0.620773385171792,0.1354174302238441,0.0
fashionmnist,K-MeansACO,CLIP,imagen,10000,10,1000 1000 1000 1000 1000 1000 1000 1000 1000 1000,1000 1000 1000 1000 1000 1000 1000 1000 1000 1000,808.9430311999895,0.4654054834834835,0.5603750332475772,0.5611498588742113,0.1929681483322853,0.0
mnist,K-MeansACO,CLIP,imagen,10000,10,980 1135 1032 1010 982 892 958 1028 974 1009,980 1135 1032 1010 982 892 958 1028 974 1009,823.8592345999932,0.3243342076567516,0.3890798922291105,0.3901574485492765,0.1005814610546174,0.0
orl,K-MeansBA,CLIP,imagen,400,40,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,6.98763300000428,0.6413547008547008,0.721934225013897,0.8366938261838076,0.2350860471535541,0.0
semeion,K-MeansBA,CLIP,imagen,1593,10,161 162 159 159 161 159 161 158 155 158,161 162 159 159 161 159 161 158 155 158,29.939621600002283,0.1666277458341842,0.2448007555590871,0.253251250365137,0.0109541232887935,0.0
retinamnist,K-MeansBA,CLIP,imagen,1600,5,714 186 326 282 92,714 186 326 282 92,26.107382100002724,-0.0112219795594429,0.0190464406418907,0.022574452911789,0.0184222157133437,0.0
digits,K-MeansBA,CLIP,imagen,1797,10,178 182 177 183 181 182 181 179 174 180,178 182 177 183 181 182 181 179 174 180,31.54385619999812,0.2482029071639805,0.3313487695610039,0.3379710254361155,0.0742677466377656,0.0
dermamnist,K-MeansBA,CLIP,imagen,2005,7,66 103 220 23 223 1341 29,66 103 220 23 223 1341 29,46.99070890000439,-0.0276403324668318,0.004191945774896,0.0125424306414305,-0.0062064997292299,0.0
lfw,K-MeansBA,CLIP,imagen,2370,34,39 35 36 77 42 236 31 121 530 109 44 30 39 71 52 55 42 53 31 60 32 41 41 48 33 37 30 32 52 33 33 144 32 49,39 35 36 77 42 236 31 121 530 109 44 30 39 71 52 55 42 53 31 60 32 41 41 48 33 37 30 32 52 33 33 144 32 49,72.15258480000193,0.1385974873816881,0.4564401065264018,0.500495860981887,-0.0609792480521934,0.0
bloodmnist,K-MeansBA,CLIP,imagen,3421,8,244 624 311 579 243 284 666 470,244 624 311 579 243 284 666 470,85.96662820000347,0.0860771050248289,0.137937023977834,0.141036452514937,0.027566888596556,0.0
stl10,K-MeansBA,CLIP,imagen,5000,10,500 500 500 500 500 500 500 500 500 500,500 500 500 500 500 500 500 500 500 500,141.39460079999844,0.9292147833444668,0.9254229746203072,0.9256863968210204,0.2303632768032213,0.0
pathmnist,K-MeansBA,CLIP,imagen,7180,9,1338 847 339 634 1035 592 741 421 1233,1338 847 339 634 1035 592 741 421 1233,282.6298448000016,0.2687069197818991,0.337581519489214,0.3389843223362604,-0.0053619243331302,0.0
oxfordpet,K-MeansBA,CLIP,imagen,7349,37,198 200 200 200 200 200 200 184 199 200 200 190 196 200 200 200 200 200 199 200 200 200 196 200 200 200 200 200 200 200 199 200 199 200 189 200 200,198 200 200 200 200 200 200 184 199 200 200 190 196 200 200 200 200 200 199 200 200 200 196 200 200 200 200 200 200 200 199 200 199 200 189 200 200,395.09046610000223,0.3146871851424939,0.5413799011507372,0.5530685518093338,0.0289347781938091,0.0
organcmnist,K-MeansBA,CLIP,imagen,8216,11,828 431 421 421 727 735 1835 549 557 750 962,828 431 421 421 727 735 1835 549 557 750 962,374.68590470000345,0.1045423369188288,0.2149161359976369,0.217012646411084,0.013394655096633,0.0
organsmnist,K-MeansBA,CLIP,imagen,8827,11,811 439 445 510 704 693 2078 397 439 1343 968,811 439 445 510 704 693 2078 397 439 1343 968,461.50963099999353,-0.0008352462245039,-0.0002345707390764,0.0023025728969118,-0.012510317857153,0.0
usps,K-MeansBA,CLIP,imagen,9298,10,1553 1269 929 824 852 716 834 792 708 821,1553 1269 929 824 852 716 834 792 708 821,468.3571817999909,0.3593007154127974,0.4713304605043734,0.4723480479418859,0.1431431086536705,0.0
cifar100,K-MeansBA,CLIP,imagen,9998,20,499 500 500 500 500 500 500 500 500 500 500 500 500 500 499 500 500 500 500 500,499 500 500 500 500 500 500 500 500 500 500 500 500 500 499 500 500 500 500 500,584.337598099999,0.2806794472208436,0.4236037921366983,0.4271039490602407,0.0282979911539886,0.0
cifar10,K-MeansBA,CLIP,imagen,10000,10,1000 1000 1000 1000 1000 1000 1000 1000 1000 1000,1000 1000 1000 1000 1000 1000 1000 1000 1000 1000,523.1777020000009,0.5607010358358359,0.61951634738986,0.6201869382499183,0.1375704763554591,0.0
fashionmnist,K-MeansBA,CLIP,imagen,10000,10,1000 1000 1000 1000 1000 1000 1000 1000 1000 1000,1000 1000 1000 1000 1000 1000 1000 1000 1000 1000,510.6748850000004,0.4548953567567567,0.5609496654484059,0.5617234783032713,0.1848047127407365,0.0
mnist,K-MeansBA,CLIP,imagen,10000,10,980 1135 1032 1010 982 892 958 1028 974 1009,980 1135 1032 1010 982 892 958 1028 974 1009,528.5945204000018,0.3689409997230666,0.4431780913531151,0.4441602279029475,0.142065993793795,0.0
bloodmnist,CSCLP,CLIP,imagen,3421,8,244 624 311 579 243 284 666 470,244 624 311 579 243 284 666 470,11.316393099999914,0.158484117506942,0.2329549805756797,0.2357127851544317,0.1162865609303476,0.0
cifar10,CSCLP,CLIP,imagen,10000,10,1000 1000 1000 1000 1000 1000 1000 1000 1000 1000,1000 1000 1000 1000 1000 1000 1000 1000 1000 1000,121.74638819999927,0.6593213585585586,0.7094079577871525,0.7099201174191809,0.1573434541282772,0.0
cifar100,CSCLP,CLIP,imagen,9998,20,499 500 500 500 500 500 500 500 500 500 500 500 500 500 499 500 500 500 500 500,499 500 500 500 500 500 500 500 500 500 500 500 500 500 499 500 500 500 500 500,79.15208180000081,0.2377487310917207,0.4073399950221358,0.4109389135983349,0.0339855087198056,0.0
dermamnist,CSCLP,CLIP,imagen,2005,7,66 103 220 23 223 1341 29,66 103 220 23 223 1341 29,1.1509698999998363,-0.1008824084444349,0.044681851892817,0.0526928031043961,-0.0511901323134865,0.0
digits,CSCLP,CLIP,imagen,1797,10,178 182 177 183 181 182 181 179 174 180,178 182 177 183 181 182 181 179 174 180,1.587180200000148,0.3076994320606059,0.4059228941318109,0.4118065752281906,0.103718054831257,0.0
fashionmnist,CSCLP,CLIP,imagen,10000,10,1000 1000 1000 1000 1000 1000 1000 1000 1000 1000,1000 1000 1000 1000 1000 1000 1000 1000 1000 1000,47.12133870000071,0.4031903731731732,0.5190286483989323,0.5198763457707406,0.1558152437747056,0.0
lfw,CSCLP,CLIP,imagen,2370,34,39 35 36 77 42 236 31 121 530 109 44 30 39 71 52 55 42 53 31 60 32 41 41 48 33 37 30 32 52 33 33 144 32 49,39 35 36 77 42 236 31 121 530 109 44 30 39 71 52 55 42 53 31 60 32 41 41 48 33 37 30 32 52 33 33 144 32 49,10.282375200000388,0.1132506075924535,0.4575375402392543,0.5015043472378629,-0.0209537481082603,0.0
mnist,CSCLP,CLIP,imagen,10000,10,980 1135 1032 1010 982 892 958 1028 974 1009,980 1135 1032 1010 982 892 958 1028 974 1009,48.83602149999933,0.409300085485843,0.4819377941204152,0.4828515653272946,0.1646869448093131,0.0
organcmnist,CSCLP,CLIP,imagen,8216,11,828 431 421 421 727 735 1835 549 557 750 962,828 431 421 421 727 735 1835 549 557 750 962,30.00791290000052,0.1090391980920697,0.2359527622882808,0.2379930958929762,0.0426754293473787,0.0
organsmnist,CSCLP,CLIP,imagen,8827,11,811 439 445 510 704 693 2078 397 439 1343 968,811 439 445 510 704 693 2078 397 439 1343 968,36.8298158000016,0.1298758369370243,0.2281675002071398,0.2301252908816327,0.066373202227575,0.0
orl,CSCLP,CLIP,imagen,400,40,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,0.3788270000004559,0.6788675213675214,0.7662758213999505,0.8627353498019882,0.2883111805979204,0.0
oxfordpet,CSCLP,CLIP,imagen,7349,37,198 200 200 200 200 200 200 184 199 200 200 190 196 200 200 200 200 200 199 200 200 200 196 200 200 200 200 200 200 200 199 200 199 200 189 200 200,198 200 200 200 200 200 200 184 199 200 200 190 196 200 200 200 200 200 199 200 200 200 196 200 200 200 200 200 200 200 199 200 199 200 189 200 200,96.75476549999983,0.3307798864789791,0.553453277764193,0.564834219532886,0.0325768685900109,0.0
pathmnist,CSCLP,CLIP,imagen,7180,9,1338 847 339 634 1035 592 741 421 1233,1338 847 339 634 1035 592 741 421 1233,17.421035299999858,0.281092262215578,0.3766808843500091,0.3780008865174879,0.0964499365054168,0.0
retinamnist,CSCLP,CLIP,imagen,1600,5,714 186 326 282 92,714 186 326 282 92,0.5489238999998634,0.0120020275021536,0.0881338892079138,0.091413427568001,0.100962191403466,0.0
semeion,CSCLP,CLIP,imagen,1593,10,161 162 159 159 161 159 161 158 155 158,161 162 159 159 161 159 161 158 155 158,0.9911450999989028,0.2062089873941354,0.2943529986388672,0.3022490159664819,0.0535722267710647,0.0
stl10,CSCLP,CLIP,imagen,5000,10,500 500 500 500 500 500 500 500 500 500,500 500 500 500 500 500 500 500 500 500,11.169447199999922,0.8770907190380761,0.8919808958881019,0.892362442751621,0.2266274197314914,0.0
usps,CSCLP,CLIP,imagen,9298,10,1553 1269 929 824 852 716 834 792 708 821,1553 1269 929 824 852 716 834 792 708 821,71.78147949999948,0.4864770433145924,0.5729105797190721,0.5737326449153893,0.2296743183905207,0.0
orl,HCAKC,CLIP,imagen,400,40,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,2.977665899998101,0.5242692307692308,0.6791045804590146,0.8115402617851867,0.0445682892960427,0.0
semeion,HCAKC,CLIP,imagen,1593,10,161 162 159 159 161 159 161 158 155 158,162 159 161 161 159 161 158 158 159 155,10.929450900002848,0.1779693785659344,0.2741514067554763,0.2822734749544884,-0.051264006952496,0.0
retinamnist,HCAKC,CLIP,imagen,1600,5,714 186 326 282 92,186 326 714 282 92,3.6804583000048297,0.0448312368935094,0.0899731598161256,0.0932460832154824,0.0886484866883439,0.0
digits,HCAKC,CLIP,imagen,1797,10,178 182 177 183 181 182 181 179 174 180,183 181 182 182 181 177 179 180 174 178,12.204636800001026,0.2184408147470726,0.2940613502873486,0.3010528970874027,0.0267174965624825,0.0
dermamnist,HCAKC,CLIP,imagen,2005,7,66 103 220 23 223 1341 29,103 1341 223 220 29 66 23,8.212177000001248,0.1044879894020779,0.0409458479044732,0.0489881278893371,0.0237080655062119,0.0
lfw,HCAKC,CLIP,imagen,2370,34,39 35 36 77 42 236 31 121 530 109 44 30 39 71 52 55 42 53 31 60 32 41 41 48 33 37 30 32 52 33 33 144 32 49,71 121 236 530 109 44 144 41 77 42 60 53 52 55 52 48 41 49 42 35 32 39 33 33 36 39 30 30 31 31 32 32 33 37,24.819392899997183,0.2508352150488738,0.5272723802379478,0.5655871495772984,0.0051558983528784,0.0
bloodmnist,HCAKC,CLIP,imagen,3421,8,244 624 311 579 243 284 666 470,666 624 284 470 579 311 244 243,31.91180010000244,0.077279368269377,0.1220250139671722,0.1251816519417311,0.0034291324214333,0.0
stl10,HCAKC,CLIP,imagen,5000,10,500 500 500 500 500 500 500 500 500 500,500 500 500 500 500 500 500 500 500 500,34.66665970000031,0.7397679330215987,0.7993398901305542,0.8000486650846103,0.1693711155354606,0.0
pathmnist,HCAKC,CLIP,imagen,7180,9,1338 847 339 634 1035 592 741 421 1233,1338 847 1035 1233 741 634 592 339 421,127.64190170000074,0.398603492024064,0.4012229415000371,0.402490970981585,0.0504496998585631,0.0
oxfordpet,HCAKC,CLIP,imagen,7349,37,198 200 200 200 200 200 200 184 199 200 200 190 196 200 200 200 200 200 199 200 200 200 196 200 200 200 200 200 200 200 199 200 199 200 189 200 200,200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 184 200 200 199 200 199 200 198 200 200 196 189 200 200 196 190 200 200 200 199 200 199,223.7788830999998,0.2450478769590083,0.5282013128338738,0.5402258404315663,-0.0353697948648893,0.0
organcmnist,HCAKC,CLIP,imagen,8216,11,828 431 421 421 727 735 1835 549 557 750 962,727 962 1835 431 828 735 750 557 549 421 421,178.38704140000482,0.1033206362034545,0.1773524463262398,0.179549267891367,-0.0037931326692181,0.0
organsmnist,HCAKC,CLIP,imagen,8827,11,811 439 445 510 704 693 2078 397 439 1343 968,2078 510 1343 968 704 811 693 439 439 445 397,198.7098475000093,0.0722040221437032,0.1482645973315768,0.1504250656053632,-0.0151200959774519,0.0
usps,HCAKC,CLIP,imagen,9298,10,1553 1269 929 824 852 716 834 792 708 821,834 852 1553 929 1269 824 792 821 716 708,153.0612281999929,0.4015146792472805,0.4819128618155436,0.4829100801607811,0.0809271444253805,0.0
cifar100,HCAKC,CLIP,imagen,9998,20,499 500 500 500 500 500 500 500 500 500 500 500 500 500 499 500 500 500 500 500,500 500 500 500 500 500 500 500 500 500 500 500 500 500 499 500 499 500 500 500,353.22204249999777,0.2033120727603178,0.3546000261379243,0.3585192073472205,-0.0085936320284889,0.0
cifar10,HCAKC,CLIP,imagen,10000,10,1000 1000 1000 1000 1000 1000 1000 1000 1000 1000,1000 1000 1000 1000 1000 1000 1000 1000 1000 1000,166.02084399999876,0.5844581971971972,0.6410122623575526,0.6416449673215757,0.11495593994362,0.0
fashionmnist,HCAKC,CLIP,imagen,10000,10,1000 1000 1000 1000 1000 1000 1000 1000 1000 1000,1000 1000 1000 1000 1000 1000 1000 1000 1000 1000,191.6421109999937,0.3855362606606606,0.4967872997931932,0.4976741968651412,0.0689265770669465,0.0
mnist,HCAKC,CLIP,imagen,10000,10,980 1135 1032 1010 982 892 958 1028 974 1009,1135 1032 1010 1028 1009 980 982 974 892 958,241.23967260000063,0.3370152418064453,0.4113064884229007,0.4123448409111748,0.0643001290233428,0.0
orl,K-MedoidsSC,CLIP,imagen,400,40,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,0.69041709999874,0.0064786324786324,0.0163663713438235,0.4223185347394669,-0.1930087383562938,0.0
semeion,K-MedoidsSC,CLIP,imagen,1593,10,161 162 159 159 161 159 161 158 155 158,161 162 159 159 161 159 161 158 155 158,2.482799999997951,0.0129785614115838,0.0257965743739894,0.0366976723940003,-0.1392973055891172,0.0
retinamnist,K-MedoidsSC,CLIP,imagen,1600,5,714 186 326 282 92,714 186 326 282 92,1.4896828999990248,0.0594715472699401,0.0171133590554913,0.0206483236785265,-0.0186381235178502,0.0
digits,K-MedoidsSC,CLIP,imagen,1797,10,178 182 177 183 181 182 181 179 174 180,178 182 177 183 181 182 181 179 174 180,3.814609900000505,0.0199669354371073,0.0393937189323015,0.0489074688498679,-0.155381671453921,0.0
dermamnist,K-MedoidsSC,CLIP,imagen,2005,7,66 103 220 23 223 1341 29,66 103 220 23 223 1341 29,2.933880700002192,-0.0821178436632091,0.0291777868122877,0.0373187494856896,-0.2036016469728637,0.0
lfw,K-MedoidsSC,CLIP,imagen,2370,34,39 35 36 77 42 236 31 121 530 109 44 30 39 71 52 55 42 53 31 60 32 41 41 48 33 37 30 32 52 33 33 144 32 49,39 35 36 77 42 236 31 121 530 109 44 30 39 71 52 55 42 53 31 60 32 41 41 48 33 37 30 32 52 33 33 144 32 49,22.52404620000016,0.0361299018068345,0.0468118117085381,0.1240681090870663,-0.1239378841477746,0.0
bloodmnist,K-MedoidsSC,CLIP,imagen,3421,8,244 624 311 579 243 284 666 470,244 624 311 579 243 284 666 470,14.507888300002378,0.019078742199446,0.0232556894072547,0.0267674388662946,-0.0990315487655103,0.0
stl10,K-MedoidsSC,CLIP,imagen,5000,10,500 500 500 500 500 500 500 500 500 500,500 500 500 500 500 500 500 500 500 500,28.99319110000215,0.0497692424849699,0.0878217540634611,0.0910437651287159,-0.0668509652055186,0.0
pathmnist,K-MedoidsSC,CLIP,imagen,7180,9,1338 847 339 634 1035 592 741 421 1233,1338 847 339 634 1035 592 741 421 1233,48.827767399998265,0.0368048569958811,0.046046328172822,0.0480665147560189,-0.1101711341136471,0.0
oxfordpet,K-MedoidsSC,CLIP,imagen,7349,37,198 200 200 200 200 200 200 184 199 200 200 190 196 200 200 200 200 200 199 200 200 200 196 200 200 200 200 200 200 200 199 200 199 200 189 200 200,198 200 200 200 200 200 200 184 199 200 200 190 196 200 200 200 200 200 199 200 200 200 196 200 200 200 200 200 200 200 199 200 199 200 189 200 200,188.0348182000016,0.0035073941564185,0.0173262873720528,0.0423712641777237,-0.1023493305754871,0.0
organcmnist,K-MedoidsSC,CLIP,imagen,8216,11,828 431 421 421 727 735 1835 549 557 750 962,828 431 421 421 727 735 1835 549 557 750 962,91.57222709999768,0.0217788164857232,0.0534328122726202,0.0559605523741437,-0.1552300264239826,0.0
organsmnist,K-MedoidsSC,CLIP,imagen,8827,11,811 439 445 510 704 693 2078 397 439 1343 968,811 439 445 510 704 693 2078 397 439 1343 968,108.24594799999612,0.0122809994468485,0.0348196036358493,0.0372678306536443,-0.1309999132964232,0.0
usps,K-MedoidsSC,CLIP,imagen,9298,10,1553 1269 929 824 852 716 834 792 708 821,1553 1269 929 824 852 716 834 792 708 821,177.97909740000614,0.0400994119778253,0.0575778728065327,0.0593918545963305,-0.0585508744118122,0.0
cifar100,K-MedoidsSC,CLIP,imagen,9998,20,499 500 500 500 500 500 500 500 500 500 500 500 500 500 499 500 500 500 500 500,499 500 500 500 500 500 500 500 500 500 500 500 500 500 499 500 500 500 500 500,201.14946229998893,0.0133759597529337,0.0445765265868235,0.0503783206301583,-0.1109727059446205,0.0
cifar10,K-MedoidsSC,CLIP,imagen,10000,10,1000 1000 1000 1000 1000 1000 1000 1000 1000 1000,1000 1000 1000 1000 1000 1000 1000 1000 1000 1000,189.85501679999288,0.0184044756756756,0.0371988455354058,0.0388957532732508,-0.0751590452318381,0.0
fashionmnist,K-MedoidsSC,CLIP,imagen,10000,10,1000 1000 1000 1000 1000 1000 1000 1000 1000 1000,1000 1000 1000 1000 1000 1000 1000 1000 1000 1000,171.55518989999837,0.0196876306306306,0.0396192056191504,0.0413118475459965,-0.0520039238670183,0.0
mnist,K-MedoidsSC,CLIP,imagen,10000,10,980 1135 1032 1010 982 892 958 1028 974 1009,980 1135 1032 1010 982 892 958 1028 974 1009,159.84735470000305,0.0217592472129707,0.0423659499229477,0.0440550490538175,-0.0764823033690468,0.0
orl,MILP-KM,CLIP,imagen,400,40,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,2.367080199997872,0.6726153846153846,0.776862876082707,0.8689530563583243,0.2979469858661524,0.0
semeion,MILP-KM,CLIP,imagen,1593,10,161 162 159 159 161 159 161 158 155 158,161 162 159 159 161 159 161 158 155 158,4.784586000001582,0.2233094926465103,0.3181403978572917,0.3257702400066016,0.0992774372918563,0.0
retinamnist,MILP-KM,CLIP,imagen,1600,5,714 186 326 282 92,714 186 326 282 92,2.39820769999642,0.0355881354452291,0.0683389276370083,0.0716896588345525,0.1288911934154437,0.0
digits,MILP-KM,CLIP,imagen,1797,10,178 182 177 183 181 182 181 179 174 180,178 182 177 183 181 182 181 179 174 180,5.390482599999814,0.3224214336302148,0.4100950483445773,0.4159374088368967,0.1350202893211501,0.0
dermamnist,MILP-KM,CLIP,imagen,2005,7,66 103 220 23 223 1341 29,66 103 220 23 223 1341 29,4.55930239999725,-0.1214471899277097,0.0466566665593616,0.0546510576920005,0.0039378954280378,0.0
lfw,MILP-KM,CLIP,imagen,2370,34,39 35 36 77 42 236 31 121 530 109 44 30 39 71 52 55 42 53 31 60 32 41 41 48 33 37 30 32 52 33 33 144 32 49,39 35 36 77 42 236 31 121 530 109 44 30 39 71 52 55 42 53 31 60 32 41 41 48 33 37 30 32 52 33 33 144 32 49,35.87646600000153,0.1428880264546899,0.5306547783732042,0.5686954029430332,0.0417404224457343,0.0
bloodmnist,MILP-KM,CLIP,imagen,3421,8,244 624 311 579 243 284 666 470,244 624 311 579 243 284 666 470,11.620156399992991,0.119402665172217,0.1957673692352146,0.1986588767417354,0.1260009765943563,0.0
stl10,MILP-KM,CLIP,imagen,5000,10,500 500 500 500 500 500 500 500 500 500,500 500 500 500 500 500 500 500 500 500,24.992805599998974,0.948104792162102,0.9424369357396458,0.9426402609459013,0.237742339413123,0.0
pathmnist,MILP-KM,CLIP,imagen,7180,9,1338 847 339 634 1035 592 741 421 1233,1338 847 339 634 1035 592 741 421 1233,48.896719600001234,0.396694405881839,0.4572659485258266,0.4584152957964673,0.1548145389178158,0.0
oxfordpet,MILP-KM,CLIP,imagen,7349,37,198 200 200 200 200 200 200 184 199 200 200 190 196 200 200 200 200 200 199 200 200 200 196 200 200 200 200 200 200 200 199 200 199 200 189 200 200,198 200 200 200 200 200 200 184 199 200 200 190 196 200 200 200 200 200 199 200 200 200 196 200 200 200 200 200 200 200 199 200 199 200 189 200 200,254.54032729999744,0.3964508406186105,0.6232874055208383,0.6328885152990814,0.07296432547566,0.0
organcmnist,MILP-KM,CLIP,imagen,8216,11,828 431 421 421 727 735 1835 549 557 750 962,828 431 421 421 727 735 1835 549 557 750 962,93.15320929999872,0.1400923122677771,0.2488711788732653,0.2508770147686872,0.0989258226258904,0.0
organsmnist,MILP-KM,CLIP,imagen,8827,11,811 439 445 510 704 693 2078 397 439 1343 968,811 439 445 510 704 693 2078 397 439 1343 968,103.87416030000897,0.123477133391395,0.2228840880066683,0.2248552803131712,0.1123252237329077,0.0
usps,MILP-KM,CLIP,imagen,9298,10,1553 1269 929 824 852 716 834 792 708 821,1553 1269 929 824 852 716 834 792 708 821,102.18634960000054,0.3126491930360946,0.4707059327416466,0.4717247222752858,0.1895320448731441,0.0
cifar100,MILP-KM,CLIP,imagen,9998,20,499 500 500 500 500 500 500 500 500 500 500 500 500 500 499 500 500 500 500 500,499 500 500 500 500 500 500 500 500 500 500 500 500 500 499 500 500 500 500 500,258.62305619999825,0.3085232615657617,0.4653588978534222,0.4686054975530033,0.0548025521149658,0.0
cifar10,MILP-KM,CLIP,imagen,10000,10,1000 1000 1000 1000 1000 1000 1000 1000 1000 1000,1000 1000 1000 1000 1000 1000 1000 1000 1000 1000,126.1629052000062,0.6343855807807808,0.7059015575664368,0.7064198971221586,0.1732779741083386,0.0
